EDI_WCA_695_20151119
eventcd	eventid	optionid	serialid	scexhid	bbcid	bbeid	actflag	changed	created	secid	issid	isin	uscode	issuername	cntryofincorp	sic	cik	indusid	sectycd	securitydesc	parvalue	pvcurrency	statusflag	primaryexchgcd	bbgcurrency	bbgcompositeglobalid	bbgcompositeticker	bbgglobalid	bbgexchangeticker	structcd	exchgcntry	exchgcd	mic	micseg	localcode	liststatus	date1type	date1	date2type	date2	date3type	date3	date4type	date4	date5type	date5	date6type	date6	date7type	date7	date8type	date8	date9type	date9	date10type	date10	date11type	date11	date12type	date12	paytype	rdid	priority	defaultopt	outturnsecid	outturnisin	ratioold	rationew	fractions	currency	rate1type	rate1	rate2type	rate2	field1name	field1	field2name	field2	field3name	field3	field4name	field4	field5name	field5	field6name	field6	field7name	field7	field8name	field8	field9name	field9	field10name	field10	field11name	field11	field12name	field12	field13name	field13	field14name	field14	field15name	field15	field16name	field16	field17name	field17	field18name	field18	field19name	field19	field20name	field20	field21name	field21	field22name	field22	field23name	field23	field24name	field24
AGM	650879	1	1	5091638	101098	667609	U	2015/11/19 13:15:02	2015/10/14	1712381	134922	US8918941076	891894107	Towers Watson & Co	US	8742	0001470215	137	EQS	Ordinary Shares - Class A	0.01000	USD	A	USNASD	USD	BBG000BBLK04	TW US	BBG000BBLVR1	TW UW		US	USNASD	XNAS	XNGS	TW	L	AGMDate	2015/11/20	FYEDate		RecDate	2015/10/01																						F											AGMEGM	SGM	AGMNo		AGMTime	08:00	Add1	Royal Palm South Beach,	Add2	1545 Collins Avenue,	Add3	Miami Beach,	Add4	FL 33139	Add5		Add6		City		CntryCD	US																										
AGM	650890	1	1	93525	102921	100728	U	2015/11/19 13:15:02	2015/10/14	78219	67567	IE00B4XGY116	G96666105	Willis Group Holdings PLC	IE	6411	0001140536	70	EQS	Ordinary Shares	0.00011	USD	A	USNYSE	USD	BBG000DB3KT1	WSH US	BBG000DB3MQ0	WSH UN	CEF	US	USNYSE	XNYS		WSH	R	AGMDate	2015/11/20	FYEDate		RecDate	2015/10/02																						F											AGMEGM	EGM	AGMNo		AGMTime	09:30	Add1	200 Liberty Street,	Add2	NY 10281.	Add3		Add4		Add5		Add6		City	New York.	CntryCD	US																										
AGM	655573	1	1	5455	43548	44012	I	2015/11/19 17:23:04	2015/11/19	5456	5252	GB00B70FPS60	G51604158	Johnson Matthey plc	GB			13	EQS	Ordinary Shares	1.04761	GBP	A	GBLSE	GBP	BBG000BDNRP6	JMAT LN	BBG000BDNS10	JMAT LN		GB	GBLSE	XLON		JMAT	L	AGMDate	2015/12/16	FYEDate		RecDate																							F											AGMEGM	GM	AGMNo		AGMTime	:	Add1		Add2		Add3		Add4		Add5		Add6		City		CntryCD	GB																										
ANN	36938	1	1	4466735	105082	114993	U	2015/11/19 13:15:02	2015/10/28	3155968	11631	NO0006000900		Sparebanken Vest	NO			20	EQS	Ordinary Shares	25.00000	NOK	A	NOOB	NOK	BBG000DYK971	SVEG NO	BBG000DYK9K6	SVEG NO		NO	NOOB	XOSL		SVEG	L	NotificationDate	2015/10/26																										F																																																										
ANN	37229	1	1	5455	43548	44012	I	2015/11/19 17:23:04	2015/11/19	5456	5252	GB00B70FPS60	G51604158	Johnson Matthey plc	GB			13	EQS	Ordinary Shares	1.04761	GBP	A	GBLSE	GBP	BBG000BDNRP6	JMAT LN	BBG000BDNS10	JMAT LN		GB	GBLSE	XLON		JMAT	L	NotificationDate	2015/11/19																										F																																																										
CAPRD	8787	1	1	483697	23983	24788	U	2015/11/19 13:15:02	2015/11/06	349796	98460	MYL2143OO005		ECM Libra Financial Group Berhad	MY			40	EQS	Ordinary Shares	1.00000	MYR	A	MYKLSE	MYR	BBG000BQ7V21	ECML MK	BBG000BQ7VL0	ECML MK		MY	MYKLSE	XKLS		2143	R	EffectiveDate		RecDate																						S			F			1.0000000	1.0000000							OldParvalue	1.00000	NewParvalue	0.12000																																												
CAPRD	8784	1	1	5580	44022	44470	U	2015/11/19 13:15:02	2015/11/06	5581	5366	GB0031192486	G56350112	Lonmin	GB			67	EQS	Ordinary Shares	1.00000	USD	A	GBLSE	GBP	BBG000C0XM55	LMI LN	BBG000C0XMX4	LMI LN		GB	GBLSE	XLON		LMI	L	EffectiveDate	2015/11/20	RecDate	2015/11/19																					S	3686902	1	F			1.0000000	1.0000000							OldParvalue	1.00000	NewParvalue																																													
CONSD	3701174	1	1	68988	50418	50620	U	2015/11/19 07:14:02	2015/11/18	60536	54961	NL0010614566		Inverko N.V.	NL			145	EQS	Ordinary Shares	2.00000	EUR	A	NLENA	EUR	BBG000DWVTX0	INVET NA	BBG000DWVVK9	INVET NA		NL	NLENA	XAMS		INVER	R	ExDate	2015/11/18	Recdate	2015/11/19	Paydate	2015/11/20																			S	3701174	1	F	60536	NL0011495189	100.0000000	1.0000000							OldParvalue	0.02000	NewParvalue	2.00000	Currency	EUR																																										
CONSD	3614077	1	1	53218	76626	89527	U	2015/11/19 07:14:02	2015/09/01	46947	42712	CA46582W1086	46582W108	Leadfx Inc	CA			96	EQS	Ordinary Shares		CAD	A	CATSE	CAD	BBG000CG1TH7	LFX CN	BBG000CG2WS7	LFX CT		CA	CATSE	XTSE		IVW	L	ExDate	2015/11/18	Recdate		Paydate																				S	3614077	1	F	46947	CA52170Y1007	75.0000000	1.0000000	D						OldParvalue		NewParvalue		Currency	CAD																																										
DIV	950171	1	1	36666	82508	93246	U	2015/11/19 07:14:02	2015/11/18	34290	30836	US1113201073	111320107	Broadcom Corp.	US	3674	0001054374	136	EQS	Ordinary Shares - Class A	0.00010	USD	A	USNASD	USD	BBG000BFDXW1	BRCM US	BBG000BFF6Y6	BRCM UW		US	USNASD	XNAS	XNGS	BRCM	L	ExDate	2015/11/25	Recdate	2015/11/30	Paydate	2015/12/14	Paydate2		FYEDate	2015/12/31	PeriodEndDate	2015/09/30	OptElectionDate		ToDate		RegistrationDate		DeclarationDate	2015/11/17	Exdate2		FXDate		C	3700936	1	F						USD	GrossDividend	0.140000000	NetDividend		Marker	INT	Frequency	QTR	Tbaflag	F	NilDividend	F	DivRescind	F	RecindCashDiv	F	RecindStockDiv	F	Approxflag	F	TaxRate		Depfees		Coupon		Dapflag	N	InstallmentPayDate		DeclCurenCD		DeclGrossAmt																			
